French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
mois,month
frère,brother
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
étaient,were
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
endroit,place
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
sois,be
matin,morning
tellement,so much
point,point
venu,came
suite,after
venez,come
devant,in front of
vers,towards
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
